UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
104151,"R",8185,"R",11725,"R",70,"R",8278,"R",58,"R",0,"R",8220,"R",7059,"R",86,"R",70,"R",5,"R",0,"R",65,"R",24,"R",37,"R",23
104160,"R",625,"R",2151,"R",29,"R",836,"R",0,"R",0,"R",836,"R",569,"R",68,"R",984,"R",0,"R",0,"R",984,"R",439,"R",45,"R",21
104179,"R",5997,"R",10028,"R",60,"R",6973,"R",12,"R",0,"R",6961,"R",5602,"R",80,"R",1063,"R",0,"R",0,"R",1063,"R",678,"R",64,"R",20
104188,"R",24,"R",31,"R",77,"R",24,"R",0,"R",0,"R",24,"R",20,"R",83,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",11
104346,"R",503,"R",2114,"R",24,"R",529,"R",0,"R",0,"R",529,"R",259,"R",49,"R",729,"R",0,"R",0,"R",729,"R",236,"R",32,"R",16
104364,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",4
104391,"A",,"A",,"A",,"R",63,"R",0,"R",0,"R",63,"R",56,"R",89,"A",,"A",,"A",,"A",,"A",,"A",,"R",18
104425,"R",453,"R",1073,"R",42,"R",541,"R",0,"R",0,"R",541,"R",342,"R",63,"R",257,"R",0,"R",0,"R",257,"R",98,"R",38,"R",15
104434,"A",,"A",,"A",,"R",20,"R",0,"Z",0,"R",20,"R",14,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
104443,"A",,"A",,"A",,"R",17,"R",0,"Z",0,"R",17,"R",6,"R",35,"R",6,"R",0,"Z",0,"R",6,"R",5,"R",83,"R",11
104504,"A",,"A",,"A",,"R",23,"R",0,"R",0,"R",23,"R",19,"R",83,"R",22,"R",0,"R",0,"R",22,"R",17,"R",77,"R",30
104568,"A",,"A",,"A",,"R",165,"R",0,"R",0,"R",165,"R",156,"R",95,"R",111,"R",0,"R",0,"R",111,"R",90,"R",81,"R",12
104577,"R",427,"R",1095,"R",39,"R",417,"R",63,"R",0,"R",354,"R",190,"R",54,"R",751,"R",89,"R",0,"R",662,"R",305,"R",46,"R",19
104586,"R",599,"R",713,"R",84,"R",579,"R",0,"R",0,"R",579,"R",488,"R",84,"R",4,"R",0,"R",0,"R",4,"R",2,"R",50,"R",17
104708,"R",1698,"R",5113,"R",33,"R",1801,"R",0,"Z",0,"R",1801,"R",1188,"R",66,"R",1119,"R",0,"Z",0,"R",1119,"R",506,"R",45,"R",21
104717,"R",2375,"R",15216,"R",16,"R",2467,"R",0,"Z",0,"R",2467,"R",1622,"R",66,"R",705,"R",0,"R",0,"R",705,"R",258,"R",37,"R",19
104911,"A",,"A",,"A",,"R",23,"R",3,"Z",0,"R",20,"R",11,"R",55,"A",,"A",,"A",,"A",,"A",,"A",,"R",8
105145,"R",334,"R",1592,"R",21,"R",293,"R",0,"Z",0,"R",293,"R",164,"R",56,"R",299,"R",0,"Z",0,"R",299,"R",111,"R",37,"R",14
105154,"R",1589,"R",5455,"R",29,"R",1587,"R",0,"Z",0,"R",1587,"R",991,"R",62,"R",1160,"R",0,"Z",0,"R",1160,"R",491,"R",42,"R",21
105206,"R",174,"R",1230,"R",14,"R",139,"R",0,"R",0,"R",139,"R",66,"R",47,"R",297,"R",0,"R",0,"R",297,"R",116,"R",39,"R",13
105215,"A",,"A",,"A",,"R",173,"R",0,"Z",0,"R",173,"R",145,"R",84,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
105297,"R",118,"R",297,"R",40,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
105330,"R",5010,"R",8694,"R",58,"R",4663,"R",1,"R",0,"R",4662,"R",3521,"R",76,"R",555,"R",0,"R",0,"R",555,"R",303,"R",55,"R",18
105349,"R",61,"R",594,"R",10,"R",45,"R",0,"R",0,"R",45,"R",20,"R",44,"R",105,"R",0,"R",0,"R",105,"R",22,"R",21,"R",15
105367,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",7
105428,"R",790,"R",3406,"R",23,"R",712,"R",0,"Z",0,"R",712,"R",446,"R",63,"R",670,"R",0,"Z",0,"R",670,"R",311,"R",46,"R",18
105482,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",15
105525,"R",2210,"R",7775,"R",28,"R",2341,"R",0,"R",0,"R",2341,"R",1502,"R",64,"R",2759,"R",0,"R",0,"R",2759,"R",1113,"R",40,"R",24
105534,"A",,"A",,"A",,"R",142,"R",0,"R",0,"R",142,"R",63,"R",44,"A",,"A",,"A",,"A",,"A",,"A",,"R",25
105543,"A",,"A",,"A",,"R",276,"R",0,"R",0,"R",276,"R",186,"R",67,"A",,"A",,"A",,"A",,"A",,"A",,"R",25
105589,"R",45,"R",113,"R",40,"R",35,"R",0,"Z",0,"R",35,"R",25,"R",71,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
105659,"A",,"A",,"A",,"R",161,"R",1,"R",0,"R",160,"R",119,"R",74,"A",,"A",,"A",,"A",,"A",,"A",,"R",34
105668,"R",109,"R",5092,"R",2,"R",84,"R",0,"Z",0,"R",84,"R",28,"R",33,"R",221,"R",0,"Z",0,"R",221,"R",60,"R",27,"R",29
105677,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6
105701,"A",,"A",,"A",,"R",39,"R",3,"Z",0,"R",36,"R",11,"R",31,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
105747,"R",673,"R",2744,"R",25,"R",722,"R",0,"Z",0,"R",722,"R",463,"R",64,"R",423,"R",0,"Z",0,"R",423,"R",204,"R",48,"R",18
105792,"R",441,"R",1267,"R",35,"R",393,"R",0,"Z",0,"R",393,"R",231,"R",59,"R",252,"R",0,"Z",0,"R",252,"R",103,"R",41,"R",18
105899,"R",129,"R",373,"R",35,"R",102,"R",0,"R",0,"R",102,"R",63,"R",62,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",17
105987,"A",,"A",,"A",,"R",83,"Z",0,"Z",0,"R",83,"R",60,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
106041,"A",,"A",,"A",,"R",427,"R",2,"R",0,"R",425,"R",333,"R",78,"A",,"A",,"A",,"A",,"A",,"A",,"R",28
106102,"A",,"A",,"A",,"R",8,"R",0,"R",0,"R",8,"R",6,"R",75,"A",,"A",,"A",,"A",,"A",,"A",,"R",16
106111,"A",,"A",,"A",,"R",60,"R",1,"Z",0,"R",59,"R",31,"R",53,"R",26,"R",0,"Z",0,"R",26,"R",10,"R",38,"R",14
106148,"R",425,"R",2367,"R",18,"R",501,"R",0,"R",0,"R",501,"R",314,"R",63,"R",566,"R",0,"R",0,"R",566,"R",249,"R",44,"R",19
106245,"R",768,"R",2804,"R",27,"R",792,"Z",0,"Z",0,"R",792,"R",542,"R",68,"R",43,"Z",0,"Z",0,"R",43,"R",15,"R",35,"R",13
106263,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",7
106306,"R",245,"R",368,"R",67,"R",18,"R",0,"R",0,"R",18,"R",8,"R",44,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",22
106315,"A",,"A",,"A",,"R",15,"R",0,"R",0,"R",15,"R",8,"R",53,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",19
106324,"A",,"A",,"A",,"R",15,"R",0,"Z",0,"R",15,"R",11,"R",73,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",6
106342,"R",200,"R",234,"R",85,"R",210,"R",0,"R",0,"R",210,"R",139,"R",66,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
106351,"A",,"A",,"A",,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
106360,"A",,"A",,"A",,"R",19,"R",0,"R",0,"R",19,"R",10,"R",53,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
106397,"R",4938,"R",6500,"R",76,"R",4871,"R",2,"Z",0,"R",4869,"R",4014,"R",82,"R",44,"R",0,"Z",0,"R",44,"R",26,"R",59,"R",18
106412,"R",763,"R",948,"R",80,"R",671,"R",1,"Z",0,"R",670,"R",471,"R",70,"R",13,"Z",0,"Z",0,"R",13,"R",2,"R",15,"R",15
106449,"R",565,"R",857,"R",66,"R",573,"R",2,"R",0,"R",571,"R",328,"R",57,"R",42,"R",0,"R",0,"R",42,"R",13,"R",31,"R",17
106458,"R",1609,"R",2570,"R",63,"R",1542,"R",2,"R",0,"R",1540,"R",1155,"R",75,"R",35,"R",0,"R",0,"R",35,"R",18,"R",51,"R",18
106467,"R",1819,"R",2435,"R",75,"R",1654,"R",0,"R",0,"R",1654,"R",1138,"R",69,"R",19,"R",0,"R",0,"R",19,"R",10,"R",53,"R",19
106485,"R",489,"R",1475,"R",33,"R",372,"R",0,"R",0,"R",372,"R",194,"R",52,"R",5,"R",0,"R",0,"R",5,"R",1,"R",20,"R",15
106494,"A",,"A",,"A",,"R",19,"R",0,"R",0,"R",19,"R",11,"R",58,"A",,"A",,"A",,"A",,"A",,"A",,"R",22
106546,"R",12,"R",256,"R",5,"R",5,"Z",0,"Z",0,"R",5,"R",2,"R",40,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
106625,"R",327,"R",498,"R",66,"R",259,"R",0,"R",0,"R",259,"R",167,"R",64,"R",68,"R",0,"R",0,"R",68,"R",34,"R",50,"R",13
106704,"R",1867,"R",2540,"R",74,"R",1986,"R",0,"R",0,"R",1986,"R",1446,"R",73,"R",58,"R",0,"Z",0,"R",58,"R",33,"R",57,"R",17
